scenario,description,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
no_cubic_growth,Degenerate: no stellar expansion at all (p_cubic_growth = 0),splitCycle,17.00,0.17,0.17,0.00,15.00,16.00,32.67,19.00
no_cubic_growth,Degenerate: no stellar expansion at all (p_cubic_growth = 0),borda,17.00,15.00,5.67,0.00,2.00,16.00,41.67,2.67
no_cubic_growth,Degenerate: no stellar expansion at all (p_cubic_growth = 0),lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
noise_check,No-op null check. Run at an offset --seed (e.g. 53) so its draws differ from the baseline; its SI vs baseline is then the pure Monte Carlo noise floor (anything below it is not a real signal).,nashBargaining,10.50,15.30,6.20,34.95,2.70,15.45,7.60,7.30
noise_check,No-op null check. Run at an offset --seed (e.g. 53) so its draws differ from the baseline; its SI vs baseline is then the pure Monte Carlo noise floor (anything below it is not a real signal).,credenceWeighted,10.50,15.30,6.20,34.95,2.70,15.45,7.60,7.30
noise_check,No-op null check. Run at an offset --seed (e.g. 53) so its draws differ from the baseline; its SI vs baseline is then the pure Monte Carlo noise floor (anything below it is not a real signal).,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
noise_check,No-op null check. Run at an offset --seed (e.g. 53) so its draws differ from the baseline; its SI vs baseline is then the pure Monte Carlo noise floor (anything below it is not a real signal).,met,17.00,10.00,2.00,6.00,2.00,16.00,42.00,5.00
noise_check,No-op null check. Run at an offset --seed (e.g. 53) so its draws differ from the baseline; its SI vs baseline is then the pure Monte Carlo noise floor (anything below it is not a real signal).,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
noise_check,No-op null check. Run at an offset --seed (e.g. 53) so its draws differ from the baseline; its SI vs baseline is then the pure Monte Carlo noise floor (anything below it is not a real signal).,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
noise_check,No-op null check. Run at an offset --seed (e.g. 53) so its draws differ from the baseline; its SI vs baseline is then the pure Monte Carlo noise floor (anything below it is not a real signal).,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
