fund_varied,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
longview_nuclear,0.1,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_nuclear,0.1,navigation_fund_general,18.0680,0.0100,7.6000,7.6000,32.0000,42.0000,41.1000,42.0000
longview_nuclear,0.1,sentinel_bio,9.5580,0.9650,10.0000,10.0000,19.0000,2.0000,0.1000,0.0000
longview_nuclear,10,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
longview_nuclear,10,givewell,10.4408,-2.5122,14.3500,14.3500,0.0000,3.0000,6.1667,16.0000
longview_nuclear,10,leaf,4.7083,-0.2297,5.9000,5.9000,1.0000,2.0000,5.1667,5.5000
longview_nuclear,10,longview_ai,20.4875,-2.7300,30.7500,30.7500,0.0000,5.0000,0.0000,0.0000
longview_nuclear,10,longview_nuclear,14.3367,10.5137,14.4000,14.4000,15.0000,15.0000,14.3333,4.0000
longview_nuclear,10,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_nuclear,10,navigation_fund_general,18.0308,-0.0272,7.5500,7.5500,32.0000,42.0000,41.1667,41.5000
longview_nuclear,10,sentinel_bio,3.5783,-5.0147,1.1000,1.1000,19.0000,0.0000,0.1667,0.0000
navigation_fund_cagefree,0.5,ea_awf,13.3925,0.6175,11.4500,11.4500,17.0000,17.0000,17.0000,17.0000
navigation_fund_cagefree,0.5,givewell,12.5669,-0.3861,16.2500,16.2500,0.0000,0.0000,20.0556,20.0000
navigation_fund_cagefree,0.5,leaf,4.9944,0.0564,6.6000,6.6000,1.0000,0.0000,5.5556,5.5000
navigation_fund_cagefree,0.5,longview_ai,22.7500,-0.4675,35.0000,35.0000,0.0000,0.0000,0.0000,0.0000
navigation_fund_cagefree,0.5,longview_nuclear,4.3194,0.4964,2.1000,2.1000,15.0000,7.0000,0.0556,0.0000
navigation_fund_cagefree,0.5,navigation_fund_cagefree,13.7486,-1.8939,12.5500,12.5500,16.0000,16.0000,15.8889,16.0000
navigation_fund_cagefree,0.5,navigation_fund_general,18.3386,0.2806,8.1500,8.1500,32.0000,41.0000,41.3889,41.5000
navigation_fund_cagefree,0.5,sentinel_bio,9.8894,1.2964,7.9000,7.9000,19.0000,19.0000,0.0556,0.0000
navigation_fund_cagefree,1.5,ea_awf,12.8400,0.0650,10.6000,10.6000,17.0000,17.0000,17.0000,17.0000
navigation_fund_cagefree,1.5,givewell,13.4775,0.5245,15.3500,15.3500,0.0000,15.0000,20.0000,20.0000
navigation_fund_cagefree,1.5,leaf,4.8975,-0.0405,6.1500,6.1500,1.0000,2.0000,5.5000,5.5000
navigation_fund_cagefree,1.5,longview_ai,23.0225,-0.1950,34.6500,34.6500,0.0000,5.0000,0.0000,0.0000
navigation_fund_cagefree,1.5,longview_nuclear,3.6150,-0.2080,2.1000,2.1000,15.0000,0.0000,0.0000,0.0000
navigation_fund_cagefree,1.5,navigation_fund_cagefree,15.7725,0.1300,15.6500,15.6500,16.0000,16.0000,16.0000,16.0000
navigation_fund_cagefree,1.5,navigation_fund_general,18.0900,0.0320,7.6000,7.6000,32.0000,42.0000,41.5000,41.5000
navigation_fund_cagefree,1.5,sentinel_bio,8.2850,-0.3080,7.9000,7.9000,19.0000,3.0000,0.0000,0.0000
navigation_fund_cagefree,2,ea_awf,12.9050,0.1300,10.7000,10.7000,17.0000,17.0000,17.0000,17.0000
navigation_fund_cagefree,2,givewell,13.5688,0.6158,15.3500,15.3500,0.0000,16.0000,20.1000,19.1667
navigation_fund_cagefree,2,leaf,4.9513,0.0133,6.2000,6.2000,1.0000,2.0000,5.6000,6.1667
navigation_fund_cagefree,2,longview_ai,22.8308,-0.3867,34.3500,34.3500,0.0000,5.0000,0.0000,0.1667
navigation_fund_cagefree,2,longview_nuclear,3.6263,-0.1967,2.1000,2.1000,15.0000,0.0000,0.1000,0.1667
navigation_fund_cagefree,2,navigation_fund_cagefree,15.8375,0.1950,15.7500,15.7500,16.0000,16.0000,16.0000,16.0000
navigation_fund_cagefree,2,navigation_fund_general,18.0838,0.0258,7.6500,7.6500,32.0000,42.0000,41.1000,41.1667
navigation_fund_cagefree,2,sentinel_bio,8.1963,-0.3967,7.9000,7.9000,19.0000,2.0000,0.1000,0.1667
navigation_fund_general,0.5,ea_awf,15.4400,2.6650,14.6000,14.6000,17.0000,17.0000,17.0000,17.0000
navigation_fund_general,0.5,givewell,16.4155,3.4625,15.5500,15.5500,10.0000,10.0000,38.1000,38.0000
navigation_fund_general,0.5,leaf,5.7605,0.8225,6.4500,6.4500,5.0000,2.0000,6.1000,6.5000
navigation_fund_general,0.5,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
navigation_fund_general,0.5,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
navigation_fund_general,0.5,navigation_fund_cagefree,15.7075,0.0650,15.5500,15.5500,16.0000,16.0000,16.0000,16.0000
navigation_fund_general,0.5,navigation_fund_general,11.0430,-7.0150,2.9000,2.9000,18.0000,42.0000,22.6000,22.5000
navigation_fund_general,0.5,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
navigation_fund_general,1.5,ea_awf,11.2800,-1.4950,8.2000,8.2000,17.0000,17.0000,17.0000,17.0000
navigation_fund_general,1.5,givewell,12.8530,-0.1000,15.3000,15.3000,0.0000,10.0000,19.1000,19.0000
navigation_fund_general,1.5,leaf,4.4480,-0.4900,5.6000,5.6000,0.0000,2.0000,6.1000,6.0000
navigation_fund_general,1.5,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
navigation_fund_general,1.5,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
navigation_fund_general,1.5,navigation_fund_cagefree,15.5775,-0.0650,15.3500,15.3500,16.0000,16.0000,16.0000,16.0000
navigation_fund_general,1.5,navigation_fund_general,20.2080,2.1500,10.6000,10.6000,33.0000,42.0000,41.6000,42.0000
navigation_fund_general,1.5,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
navigation_fund_general,2,ea_awf,10.1750,-2.6000,6.5000,6.5000,17.0000,17.0000,17.0000,17.0000
navigation_fund_general,2,givewell,12.8205,-0.1325,15.2500,15.2500,0.0000,10.0000,19.1000,19.0000
navigation_fund_general,2,leaf,4.0905,-0.8475,5.0500,5.0500,0.0000,2.0000,6.1000,6.0000
navigation_fund_general,2,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
navigation_fund_general,2,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
navigation_fund_general,2,navigation_fund_cagefree,15.5450,-0.0975,15.3000,15.3000,16.0000,16.0000,16.0000,16.0000
navigation_fund_general,2,navigation_fund_general,21.7355,3.6775,12.9500,12.9500,33.0000,42.0000,41.6000,42.0000
navigation_fund_general,2,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
sentinel_bio,0.1,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
sentinel_bio,0.1,givewell,13.5655,0.6125,15.3500,15.3500,0.0000,16.0000,20.1000,19.0000
sentinel_bio,0.1,leaf,4.9155,-0.0225,6.1500,6.1500,1.0000,2.0000,5.6000,6.0000
sentinel_bio,0.1,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
sentinel_bio,0.1,longview_nuclear,8.9580,5.1350,10.0000,10.0000,15.0000,2.0000,0.1000,0.0000
sentinel_bio,0.1,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
sentinel_bio,0.1,navigation_fund_general,18.0680,0.0100,7.6000,7.6000,32.0000,42.0000,41.1000,42.0000
sentinel_bio,0.1,sentinel_bio,2.8580,-5.7350,0.0000,0.0000,19.0000,0.0000,0.1000,0.0000
sentinel_bio,10,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
sentinel_bio,10,givewell,9.4933,-3.4597,14.0000,14.0000,0.0000,0.0000,1.1667,15.0000
sentinel_bio,10,leaf,4.6158,-0.3222,5.8500,5.8500,1.0000,1.0000,5.6667,5.5000
sentinel_bio,10,longview_ai,18.6350,-4.5825,27.9000,27.9000,0.0000,5.0000,0.0000,0.0000
sentinel_bio,10,longview_nuclear,2.2633,-1.5597,0.0000,0.0000,15.0000,0.0000,0.1667,0.0000
sentinel_bio,10,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
sentinel_bio,10,navigation_fund_general,18.0250,-0.0330,7.5000,7.5000,32.0000,42.0000,41.5000,41.5000
sentinel_bio,10,sentinel_bio,18.5500,9.9570,18.8000,18.8000,19.0000,19.0000,18.5000,5.0000
all_gcr,0.0001,ea_awf,13.9125,1.1375,12.2500,12.2500,17.0000,17.0000,17.0000,17.0000
all_gcr,0.0001,givewell,19.7530,6.8000,20.1000,20.1000,0.0000,47.0000,20.1000,19.0000
all_gcr,0.0001,leaf,6.9130,1.9750,8.3000,8.3000,1.0000,8.0000,5.6000,6.0000
all_gcr,0.0001,longview_ai,16.2500,-6.9675,25.0000,25.0000,0.0000,0.0000,0.0000,0.0000
