combo,max_spend_multiplier,scenario,project_id,base_alloc,new_alloc,alloc_delta,rank_delta
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,longview_ai,23.22,22.72,-0.50,0
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,longview_nuclear,3.82,5.44,1.61,1
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,navigation_fund_cagefree,15.64,16.96,1.32,0
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,navigation_fund_general,18.06,10.92,-7.14,-3
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,sentinel_bio,8.59,9.65,1.05,0
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,ea_awf,12.78,18.44,5.66,3
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,givewell,12.95,10.13,-2.82,-1
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,leaf,4.94,4.57,-0.37,-1
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,longview_ai,23.22,22.72,-0.50,0
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,longview_nuclear,3.82,6.57,2.75,1
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,navigation_fund_cagefree,15.64,17.76,2.11,0
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,navigation_fund_general,18.06,8.61,-9.45,-4
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,sentinel_bio,8.59,11.20,2.61,2
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,ea_awf,12.78,8.45,-4.33,1
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,givewell,12.95,23.90,10.95,2
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,leaf,4.94,6.15,1.21,0
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,longview_ai,23.22,25.74,2.52,0
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,longview_nuclear,3.82,1.74,-2.08,0
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,navigation_fund_cagefree,15.64,7.87,-7.77,-3
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,navigation_fund_general,18.06,18.04,-0.02,-1
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,sentinel_bio,8.59,8.10,-0.49,1
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,ea_awf,12.78,8.73,-4.05,-1
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,givewell,12.95,9.85,-3.10,-1
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,leaf,4.94,3.41,-1.53,-1
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,longview_ai,23.22,22.72,-0.50,-1
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,longview_nuclear,3.82,3.41,-0.42,1
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,navigation_fund_cagefree,15.64,23.58,7.94,2
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,navigation_fund_general,18.06,15.95,-2.10,-1
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,sentinel_bio,8.59,12.36,3.76,2
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,ea_awf,12.78,6.36,-6.42,-1
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,givewell,12.95,9.85,-3.11,-1
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,leaf,4.94,3.17,-1.77,-1
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,longview_ai,23.22,22.72,-0.50,-1
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,longview_nuclear,3.82,4.65,0.83,1
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,navigation_fund_cagefree,15.64,28.42,12.78,2
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,navigation_fund_general,18.06,10.04,-8.02,-2
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,sentinel_bio,8.59,14.80,6.21,3
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,ea_awf,12.78,8.45,-4.33,1
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,givewell,12.95,26.46,13.51,3
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,leaf,4.94,6.19,1.25,0
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,longview_ai,23.22,23.51,0.29,-1
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,longview_nuclear,3.82,3.04,-0.78,0
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,navigation_fund_cagefree,15.64,7.87,-7.77,-2
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,navigation_fund_general,18.06,18.08,0.02,-1
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,sentinel_bio,8.59,6.40,-2.19,0
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,ea_awf,12.78,9.13,-3.65,-1
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,givewell,12.95,9.85,-3.10,0
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,leaf,4.94,3.37,-1.56,-1
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,longview_ai,23.22,22.69,-0.53,-1
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,longview_nuclear,3.82,5.23,1.40,1
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,navigation_fund_cagefree,15.64,23.64,8.00,2
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,navigation_fund_general,18.06,16.85,-1.20,-1
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,sentinel_bio,8.59,9.24,0.64,1
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,ea_awf,12.78,7.09,-5.69,-1
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,givewell,12.95,9.85,-3.11,-1
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,leaf,4.94,3.17,-1.77,-1
