fund_varied,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
longview_ai,4,navigation_fund_general,17.9355,-0.1225,7.5500,7.5500,32.0000,41.0000,41.1000,42.0000
longview_ai,4,sentinel_bio,7.2180,-0.1000,6.4000,6.4000,19.0000,2.0000,0.1000,0.0000
longview_ai,10,ea_awf,12.7506,-0.0244,10.5000,10.5000,17.0000,17.0000,16.6944,17.0000
longview_ai,10,givewell,10.3272,-2.9258,15.3000,15.3000,0.0000,0.0000,0.0278,19.0000
longview_ai,10,leaf,4.3022,-0.6358,6.2000,6.2000,1.0000,0.0000,0.0278,6.0000
longview_ai,10,longview_ai,29.5500,6.3325,35.0000,35.0000,0.0000,44.0000,30.0000,0.0000
longview_ai,10,longview_nuclear,4.5922,-0.2058,3.6000,3.6000,15.0000,0.0000,0.0278,0.0000
longview_ai,10,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_ai,10,navigation_fund_general,15.8231,-2.2349,7.5500,7.5500,32.0000,23.0000,37.1944,42.0000
longview_ai,10,sentinel_bio,7.0122,-0.3058,6.4000,6.4000,19.0000,0.0000,0.0278,0.0000
longview_nuclear,0.1,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
longview_nuclear,0.1,givewell,13.4330,0.1800,15.3000,15.3000,0.0000,15.0000,20.1000,19.0000
longview_nuclear,0.1,leaf,4.9480,0.0100,6.2000,6.2000,1.0000,2.0000,5.6000,6.0000
longview_nuclear,0.1,longview_ai,23.3175,0.1000,34.9500,34.9500,0.0000,6.0000,0.0000,0.0000
longview_nuclear,0.1,longview_nuclear,2.2580,-2.5400,0.0000,0.0000,15.0000,0.0000,0.1000,0.0000
longview_nuclear,0.1,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_nuclear,0.1,navigation_fund_general,18.0680,0.0100,7.6000,7.6000,32.0000,42.0000,41.1000,42.0000
longview_nuclear,0.1,sentinel_bio,9.5580,2.2400,10.0000,10.0000,19.0000,2.0000,0.1000,0.0000
longview_nuclear,1.5,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
longview_nuclear,1.5,givewell,13.0530,-0.2000,15.3000,15.3000,0.0000,11.0000,20.1000,20.0000
longview_nuclear,1.5,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
longview_nuclear,1.5,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
longview_nuclear,1.5,longview_nuclear,6.1680,1.3700,5.4000,5.4000,15.0000,4.0000,0.1000,0.0000
longview_nuclear,1.5,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_nuclear,1.5,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
longview_nuclear,1.5,sentinel_bio,6.1480,-1.1700,4.6000,4.6000,19.0000,3.0000,0.1000,0.0000
longview_nuclear,2,ea_awf,12.7661,-0.0089,10.5000,10.5000,17.0000,17.0000,16.8889,17.0000
