worldview_idx,worldview_name,risk_profile,multiplier,ghd,gcr,aw,diff_ghd,diff_gcr,diff_aw
11,Contractualism,2,sentience_only,25.0000,0.0000,75.0000,-75.0000,0.0000,75.0000
11,Contractualism,2,low_animals,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,Contractualism,2,moderate_high,25.0000,0.0000,75.0000,-75.0000,0.0000,75.0000
11,Contractualism,2,moderate,51.0000,0.0000,49.0000,-49.0000,0.0000,49.0000
12,Kantianism,3,baseline,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,0.1,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,0.2,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,0.5,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,sentience_only,25.0000,0.0000,75.0000,-75.0000,0.0000,75.0000
12,Kantianism,3,low_animals,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,moderate_high,32.0000,0.0000,68.0000,-68.0000,0.0000,68.0000
12,Kantianism,3,moderate,67.0000,0.0000,33.0000,-33.0000,0.0000,33.0000
13,Custom,6,baseline,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,Custom,6,0.1,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,Custom,6,0.2,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,Custom,6,0.5,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,Custom,6,sentience_only,25.0000,0.0000,75.0000,-75.0000,0.0000,75.0000
13,Custom,6,low_animals,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,Custom,6,moderate_high,32.0000,0.0000,68.0000,-68.0000,0.0000,68.0000
13,Custom,6,moderate,67.0000,0.0000,33.0000,-33.0000,0.0000,33.0000
