scenario_group,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
discount 500+,0.01,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
discount 500+,0.01,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
discount 500+,0.01,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
discount 500+,0.001,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
discount 500+,0.001,givewell,12.9530,0.0000,15.3000,15.3000,0.0000,10.0000,20.1000,20.0000
discount 500+,0.001,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
discount 500+,0.001,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
discount 500+,0.001,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
discount 500+,0.001,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
discount 500+,0.001,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
discount 500+,0.001,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
discount 500+,0,ea_awf,16.6100,3.8350,16.4000,16.4000,17.0000,17.0000,17.0000,17.0000
discount 500+,0,givewell,15.4250,2.4720,15.3000,15.3000,14.0000,17.0000,14.7500,25.0000
discount 500+,0,leaf,5.4558,0.5178,6.0500,6.0500,5.0000,2.0000,5.5833,6.3333
discount 500+,0,longview_ai,16.8308,-6.3867,24.9500,24.9500,0.0000,6.0000,0.1667,0.0000
discount 500+,0,longview_nuclear,1.4575,-2.3655,0.7500,0.7500,5.0000,0.0000,2.1667,2.3333
discount 500+,0,navigation_fund_cagefree,15.8375,0.1950,15.7500,15.7500,16.0000,16.0000,16.0000,16.0000
