project_id,effect_id,recipient_type,near_term_xrisk,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,effect_human_lives_sub_ext_10m_100m,human_life_years,False,226.4,572.7,609.4,326.6,0.04352,0.0,94.63,249.7,246.8,118.3,0.01411,0.0,72.32,186.8,177.8,80.45,0.009976,0.0,44.92,108.6,94.67,37.18,0.00514,0.0,212.9,550.6,566.8,221.0,-0.006597,0.0,112.9,285.5,302.9,162.8,0.01713,0.0,35.8,132.6,65.5,-111.4,-0.03372,0.0,151.8,426.2,378.8,56.09,-0.006744,0.0,182.4,499.2,463.5,100.2,0.0,0.0
sentinel_bio,effect_human_lives_sub_ext_1b_8b,human_life_years,False,1016.0,2569.0,2733.0,1464.0,0.2206,0.0,420.1,1108.0,1094.0,523.7,0.07628,0.0,301.1,776.7,734.5,329.8,0.05196,0.0,156.6,368.5,308.8,113.7,0.02437,0.0,975.4,2508.0,2607.0,1054.0,-0.0278,0.0,506.8,1280.0,1357.0,729.9,0.1094,0.0,211.0,715.3,435.1,-445.8,-0.1421,0.0,731.5,2034.0,1842.0,304.6,-0.02842,0.0,867.3,2354.0,2221.0,503.3,0.0,0.0
longview_nuclear,effect_human_lives_extinction,human_life_years,False,110.3,1120.0,5420.0,62650.0,380500.0,6.087e+19,42.89,474.9,2316.0,26250.0,157000.0,1.432e+19,30.91,318.5,1443.0,13990.0,73110.0,-1.803e+19,16.9,135.7,434.3,403.4,-16480.0,-2.68e+19,68.45,854.2,4275.0,48300.0,290900.0,-8.966e+18,54.28,554.9,2694.0,31130.0,188900.0,2.5e+19,-37.45,-176.0,-631.8,-8587.0,-54640.0,-4.582e+19,19.79,401.9,2155.0,23630.0,141200.0,-9.163e+18,34.85,556.4,2900.0,32230.0,193400.0,2655000000000000.0
longview_nuclear,effect_human_lives_sub_ext_100m_1b,human_life_years,False,771.5,2134.0,2542.0,1410.0,0.262,0.0,311.7,913.5,1026.0,506.6,0.079,0.0,222.4,639.6,690.2,319.5,0.04783,0.0,115.3,304.2,292.2,110.8,0.01255,0.0,718.8,2048.0,2374.0,983.4,-0.04407,0.0,384.3,1062.0,1264.0,701.4,0.08576,0.0,94.09,474.6,313.1,-436.5,-0.2253,0.0,489.9,1571.0,1619.0,287.7,-0.04505,0.0,596.5,1846.0,1970.0,479.2,0.0,0.0
longview_nuclear,effect_human_lives_sub_ext_10m_100m,human_life_years,False,195.2,540.0,643.0,356.9,0.06651,0.0,79.73,233.8,262.5,129.9,0.01956,0.0,60.74,174.9,189.3,88.49,0.01268,0.0,37.57,101.8,101.0,41.04,0.004685,0.0,181.7,518.0,600.5,249.5,-0.01194,0.0,97.23,269.2,319.7,177.9,0.01874,0.0,23.66,120.3,78.62,-110.4,-0.06104,0.0,123.8,397.1,409.1,72.58,-0.01221,0.0,150.8,466.6,497.9,121.0,0.0,0.0
longview_nuclear,effect_human_lives_sub_ext_1b_8b,human_life_years,False,876.0,2423.0,2884.0,1600.0,0.3452,0.0,354.1,1038.0,1164.0,575.1,0.1186,0.0,252.8,726.9,782.5,362.8,0.0793,0.0,130.9,345.4,329.8,125.6,0.03499,0.0,834.7,2362.0,2758.0,1184.0,-0.04395,0.0,436.9,1207.0,1433.0,797.3,0.1694,0.0,151.3,654.3,500.1,-433.9,-0.2246,0.0,600.2,1897.0,1984.0,386.2,-0.04493,0.0,720.7,2203.0,2380.0,604.4,0.0,0.0
longview_ai,effect_human_lives_extinction,human_life_years,True,493.2,3507.0,14470.0,158100.0,958300.0,1.625e+20,-166.0,-1243.0,-5298.0,-60940.0,-382300.0,-9.748e+19,-286.2,-2282.0,-10160.0,-124600.0,-814100.0,-2.439e+20,-425.9,-3472.0,-15590.0,-191800.0,-1248000.0,-2.806e+20,393.9,3086.0,12910.0,138100.0,829400.0,-1.158e+20,-997.9,-7057.0,-29150.0,-319300.0,-1937000.0,-3.007e+20,-1416.0,-9333.0,-38180.0,-425500.0,-2593000.0,-5.918e+20,108.6,1467.0,6412.0,62510.0,366100.0,-1.183e+20,378.6,3053.0,12790.0,135400.0,812600.0,2.305e+16
longview_ai,effect_human_lives_sub_ext_100m_1b,human_life_years,True,247.0,467.4,484.2,265.4,0.03382,0.0,-81.61,-158.3,-160.8,-85.94,-0.01123,0.0,-135.8,-268.9,-277.1,-151.0,-0.01808,0.0,-200.2,-400.2,-412.3,-224.1,-0.02599,0.0,220.6,428.4,410.5,99.34,-0.0264,0.0,-497.0,-941.7,-976.4,-537.0,-0.07178,0.0,-658.3,-1213.0,-1367.0,-937.9,-0.1349,0.0,102.2,227.4,126.0,-117.7,-0.02699,0.0,216.9,426.6,388.9,84.66,0.0,0.0
longview_ai,effect_human_lives_sub_ext_10m_100m,human_life_years,True,71.2,134.6,139.3,76.29,0.007603,0.0,-22.72,-44.19,-45.15,-24.16,-0.005853,0.0,-35.96,-71.49,-74.21,-40.66,-0.007641,0.0,-51.94,-104.4,-108.6,-59.63,-0.009744,0.0,62.41,121.5,115.2,25.88,-0.009202,0.0,-142.5,-270.3,-281.0,-154.5,-0.02921,0.0,-191.6,-353.4,-398.9,-271.6,-0.04703,0.0,26.83,60.53,30.71,-35.64,-0.009407,0.0,60.93,120.1,108.4,22.68,0.0,0.0
longview_ai,effect_human_lives_sub_ext_1b_8b,human_life_years,True,556.3,1052.0,1090.0,596.8,0.09473,0.0,-186.3,-361.1,-367.1,-195.0,-0.01893,0.0,-319.1,-630.9,-649.2,-351.2,-0.03803,0.0,-475.6,-948.3,-973.4,-524.2,-0.05971,0.0,515.7,995.8,974.8,269.8,-0.06142,0.0,-1118.0,-2118.0,-2198.0,-1204.0,-0.151,0.0,-1437.0,-2644.0,-2986.0,-2077.0,-0.3139,0.0,275.2,596.5,374.4,-236.4,-0.06279,0.0,514.8,1008.0,934.2,216.1,0.0,0.0
leaf,effect_lives_saved,human_life_years,False,3901.6460469450208,7803.2920938900415,5852.46907041753,1950.8230234725104,0.0,0.0,3892.693334809318,7785.327398788074,5839.013997064283,1946.3614897026457,0.0,0.0,3850.299975146949,7699.21718541923,5774.842320597163,1925.4983117530016,0.0,0.0,3784.824763748365,7565.00738798762,5675.187971489698,1893.6067258961484,0.0,0.0,3806.398158641841,7612.796317283683,5709.59723796276,1903.1990793209209,0.0,0.0,3901.6460469450208,7803.2920938900415,5852.46907041753,1950.8230234725104,0.0,0.0,3562.872129720161,7125.744259440322,5344.3081945802405,1781.4360648600805,0.0,0.0,3562.872129720161,7125.744259440322,5344.3081945802405,1781.4360648600805,0.0,0.0,3624.909771640447,7249.819543280893,5437.364657460669,1812.4548858202236,0.0,0.0
leaf,effect_disability_reduction,human_ylds,False,364.36722412072754,728.7344482414551,546.5508361810912,182.18361206036377,0.0,0.0,363.565215426834,727.1250525078325,545.345463426202,181.7839526016079,0.0,0.0,359.9304929317819,719.732286994371,539.8392079140599,179.99759981145175,0.0,0.0,354.5298480763276,708.5959313755568,531.590357453763,177.38337283253375,0.0,0.0,356.85121326134,713.70242652268,535.2768198920099,178.42560663067,0.0,0.0,364.36722412072754,728.7344482414551,546.5508361810912,182.18361206036377,0.0,0.0,334.32750372256066,668.6550074451213,501.491255583841,167.16375186128033,0.0,0.0,334.32750372256066,668.6550074451213,501.491255583841,167.16375186128033,0.0,0.0,340.19323663174924,680.3864732634985,510.2898549476239,170.09661831587462,0.0,0.0
leaf,effect_income,human_income_doublings,False,5327.080762705788,10654.161525411577,7990.621144058682,2663.540381352894,0.0,0.0,5314.975670275285,10629.871302498308,7972.428388557091,2657.507851020068,0.0,0.0,5257.309307475568,10512.754030732516,7885.14455273265,2629.124449341672,0.0,0.0,5167.703633355926,10329.190714785584,7748.810851031177,2585.452475896461,0.0,0.0,5219.725842099791,10439.451684199585,7829.588763149684,2609.862921049896,0.0,0.0,5327.080762705788,10654.161525411577,7990.621144058682,2663.540381352894,0.0,0.0,4863.732574187761,9727.465148375522,7295.598861281643,2431.8662870938806,0.0,0.0,4863.732574187761,9727.465148375522,7295.598861281643,2431.8662870938806,0.0,0.0,4947.927734691863,9895.855469383729,7421.891602037794,2473.963867345932,0.0,0.0
